"","Stationnumber","Total.docks","Name","Rideoutminusin","Initialbikes","Predbikes"
"1","30109",19,"Como Ave SE & 29th Ave SE",7.78614718614719,9,1.21385281385281
"2","30088",27,"6th Ave SE & University Ave",16.9309817671809,13,-3.93098176718093
"3","30110",19,"15th Ave SE & Como Ave SE",7.47711670480549,9,1.52288329519451
"4","30009",27,"4th Street & 13th Ave SE",10.1582473987365,13,2.84175260126346
"5","30180",19,"3rd Street N & 8th Ave N",7.57142857142857,9,1.42857142857143
"6","30187",19,"Groveland Ave & Clifton Place",6.58171828171828,9,2.41828171828172
"7","30011",19,"North 2nd Street & 4th Ave N",10.1367115928497,9,-1.13671159284969
"8","30032",15,"4th Street & 17th Ave SE",7.39518518518519,7,-0.39518518518519
"9","30087",15,"Grant Street & Portland Ave",4.26538034810345,7,2.73461965189655
"10","30060",23,"Nicollet & Franklin",6.68728004022122,11,4.31271995977878
"11","30189",19,"Delaware Street SE & 26th Ave SE",9.62484848484849,9,-0.624848484848487
"12","30085",15,"Grand Ave & Fairview Ave",5,7,2
"13","30094",15,"West 32nd Street & Bryant Ave S",4.88484848484848,7,2.11515151515152
"14","30074",15,"27th Ave SE & University Ave",8.26137195756189,7,-1.26137195756189
"15","30190",15,"7th Street SE & 10th Ave SE",6.45175070028012,7,0.548249299719885
"16","30185",15,"5th Street NE & 3rd Ave NE",4.26604554865424,7,2.73395445134576
"17","30049",15,"Nicollet Ave & W 37th Street",4.33333333333333,7,2.66666666666667
"18","30093",23,"West 15th Street & Willow",10.4731320450886,11,0.526867954911431
"19","30017",19,"Lyndale Ave S & 22nd Street ",6.14123376623377,9,2.85876623376623
"20","30137",19,"Selby Ave & Virginia Street",5.87222222222223,9,3.12777777777777
"21","30046",19,"Washington Ave S & 10th Ave S",6.33650793650793,9,2.66349206349207
"22","30171",15,"SE 3rd Ave & University Ave SE",4.78669400774664,7,2.21330599225336
"23","30014",15,"22nd Ave S & Franklin Ave",6.80652173913044,7,0.193478260869565
"24","30144",15,"N 4th Ave & W River Parkway",5.59272875816993,7,1.40727124183007
"25","30182",23,"Sanford Hall",6.90277777777778,11,4.09722222222222
"26","30052",15,"Nicollet Mall & Grant Street",4.55652173913043,7,2.44347826086957
"27","30095",15,"West 36th Street & Bryant Ave S",4.88412698412699,7,2.11587301587301
"28","30010",15,"Hennepin & Laurel Ave",5.65357142857143,7,1.34642857142857
"29","30160",15,"Dupont Ave S & W 29th Street",4.55544455544455,7,2.44455544455545
"30","30097",15,"Pleasant Ave S &  Lake Street",4.18571428571429,7,2.81428571428571
"31","30001",15,"25th Street & 33rd Ave S",4.40509928667823,7,2.59490071332177
"32","30098",15,"Marshall Street NE & 8th Ave NE",7.25,7,-0.249999999999996
"33","30041",15,"Franklin & Portland",6.70410628019324,7,0.295893719806759
"34","30177",15,"3rd Street NE & Lowry Ave NE",4,7,3
"35","30178",15,"5th Street NE & 1st Ave NE",5.48571428571429,7,1.51428571428571
"36","30165",15,"Upton Ave S & Sheridan Ave S",4.26666666666667,7,2.73333333333333
"37","30201",15,"Elwood Ave N & Oak Park Ave N",8,7,-1
"38","30172",15,"2nd Street SE & 5th Ave SE",8.66304017619806,7,-1.66304017619806
"39","30112",15,"Central Ave NE & 22nd Ave NE",4.22222222222223,7,2.77777777777777
"40","30183",19,"Weisman Art Museum",-8.90147783251231,9,17.9014778325123
"41","30051",15,"7th Street & 4th Ave S",-9.38091668451488,7,16.3809166845149
"42","30115",31,"Washington Ave SE & Union Street SE",-14.9064823348694,15,29.9064823348694
"43","30186",19,"S 5th Street & Nicollet Mall",-10.828441890166,9,19.828441890166
"44","30039",19,"10th Street & Nicollet Mall",-7.47252747252748,9,16.4725274725275
"45","30029",41,"Hennepin County Government Center",-21.641724137931,20,41.641724137931
"46","30025",25,"Williamson Hall",-11.2493423617861,12,23.2493423617861
"47","30042",23,"IDS Center",-11.9484338782989,11,22.9484338782989
"48","30024",35,"Coffman Union",-13.9302362707535,17,30.9302362707535
"49","30026",25,"Mayo Memorial Building",-9.11863735393146,12,21.1186373539315
"50","30188",19,"S 8th Street & 2nd Ave S",-7.4121336996337,9,16.4121336996337
"51","30023",15,"Chicago & 27th Street",-5.10555555555556,7,12.1055555555556
"52","30058",15,"Elliot Hall",-5.82744755244755,7,12.8274475524476
